Latitude,Longitude,PlaneModel,PlaneAirlines
39.006683,121.86973,Boeing 737NG 85N/W,Shandong Airlines
26.368607,123.04771,Airbus A330 343E,Hong Kong Airlines
34.991921,-91.398354,1997 AIR TRACTOR INC AT-602,"SOUTHERN AIRE INC     - DES ARC, AR"
51.792949,-0.568085,Airbus A319 111,easyJet
0.000003,0,,
29.088318,-81.02079,2004 BROOKS CHRIS A RV6,"BROOKS CHRIS A     - ROCKVALE, TN"
35.189392,-81.536604,2008 AIRBUS A321-211,American Airlines
3.058182,104.658741,Airbus A320 232,Tiger Airways
40.178467,116.78229,Boeing 737NG 86N/W,Shandong Airlines
48.990505,2.410559,Embraer EMB-170 STD,Hop!
28.894508,-81.26937, AIRBUS INDUSTRIE A320-214,"SUNRISE ASSET MANAGEMENT LLC     - LAS VEGAS, NV"
51.2395,5.6222,Cessna 182T Skylane,Private
38.187469,114.402505,Airbus A320 214,Air China
48.632099,2.215841,Airbus A320 214,easyJet
51.8826,-2.0427,Piper PA-28 181 Archer III,Private
47.595108,7.537153,Bombardier Global 6000,ART Aviation Flugbetriebs GmbH
42.008414,-72.738307,1999 BOEING 737-7H4,Southwest Airlines
36.225136,-80.014772,1995 AIRBUS INDUSTRIE A300F4-605R,FedEx
25.660292,54.658485,Airbus A320 232,Qatar Airways
40.421997,20.049072,Boeing 737NG 8AS/W,Ryanair
27.07233,-81.975319, AIRBUS A320-214,"SUNRISE ASSET MANAGEMENT LLC     - LAS VEGAS, NV"
23.177399,-103.02973,Boeing 737NG 852/W,Aeroméxico
44.527914,26.154495,Boeing 737 530,Blue Air
43.077439,-77.671836,1991 CESSNA 208B,"FEDERAL EXPRESS CORP     - MEMPHIS, TN"
53.754639,10.013253,Airbus A320 214,Aeroflot Russian Airlines
45.592072,9.072496,Airbus A320 214SL,easyJet
24.704132,46.142933,Airbus A330 343E,Saudi Arabian Airlines
25.0919,-80.8119,Boeing 737 48E,Avior Airlines
34.223436,-83.80394,2012 CESSNA 172S,"LANIER EQUIPMENT LEASING LLC     - GAINESVILLE, GA"
28.796749,-14.979697,Boeing 737NG 8JP/W,Norwegian Air International
41.135056,1.899597,Boeing 737NG 8B6/W,Royal Air Maroc
-23.499849,-46.342417,Airbus A320 214SL,Avianca Brasil
42.824894,-71.523483,1993 PIPER PA-32R-301,"HIGHWOOD CONSULTING GROUP INC     - BEDFORD, NH"
24.877716,46.63274,Airbus A320 214SL,Saudi Arabian Airlines
38.767776,-84.738146,Airbus A320 214SL,Allegiant Air
31.042282,121.28621,Airbus A320 214,Spring Airlines
32.74373,111.714645,Airbus A320 214,Spring Airlines
30.25025,120.34676,Airbus A321 231SL,China Eastern Airlines
34.121719,134.569305,Airbus A320 214,Peach Aviation
-27.332447,153.04599,AgustaWestland AW.139,Careflight Group Ltd
32.405106,-95.48896,1981 CESSNA 425,"AEROSMITH AVIATION INC     - LONGVIEW, TX"
18.250479,107.62921,Airbus A321 231,China Southern Airlines
37.594666,121.72069,Airbus A320 214,Shenzhen Airlines
41.527576,120.19394,Boeing 737NG 84P/W,Hainan Airlines
22.602264,114.16403,Airbus A320 214,China Eastern Airlines
-37.762894,144.77415,Airbus A380 861,Emirates Airline
51.057495,-0.422677,Airbus A320 232,British Airways
42.797012,-87.758415,2007 EMBRAER-EMPRESA BRASILEIRA DE ERJ 170-200 LR,"REPUBLIC AIRLINE INC     - INDIANAPOLIS, IN"
13.72673,121.463613,Airbus A320 216,AirAsia Philippines
14.669495,121.070425,Airbus A321 231SL,Philippine Airlines
51.607019,4.492569,Aquila AT-01,Private
53.25222,5.75417,Rolladen-Schneider LS4 a,Private
58.974284,5.657959,Airbus A320 232,Wizz Air
37.270327,-4.493946,Boeing 737NG 800/W,Jet2
21.813675,113.71544,Airbus A321 231SL,Air Macau
48.009613,13.048943,Cessna Citation CJ3,Porsche Konstruktionen GmbH
48.260422,41.827351,Airbus A380 861,Emirates Airline
-0.379261,-78.92522,Airbus A320 233,TAME
40.6544,-73.5324,2013 EMBRAER ERJ 190-100 IGW,JetBlue Airways
49.517616,8.432823,Cirrus Design SR22T,Private
60.12645,-20.918066,Airbus A350 941,Singapore Airlines
12.814178,44.958233,Airbus A320 233,Yemenia
-37.734034,144.8499,Airbus A380 861,Qatar Airways
-7.307165,112.875713,Airbus A320 233,Citilink
3.003937,99.716942,Airbus A320 214SL,Citilink
30.792391,-81.801292,2012 BOEING 737-8H4,Southwest Airlines
40.997864,2.030457,Boeing 737NG 89P/W,LOT Polish Airlines
33.94693,108.40507,Airbus A319 115SL,Tibet Airlines
39.724228,115.997533,Embraer ERJ-145 LI,Tianjin Airlines
55.338647,38.209284,Airbus A320 214SL,Aeroflot Russian Airlines
31.370296,121.048355,Airbus A321 211SL,China Eastern Airlines
-25.579524,28.261707,Airbus A320 232,South African Airways
10.777222,-61.163494,Avions de Transport Regional ATR 72 600,Caribbean Airlines
48.31275,11.439153,Airbus A321 211SL,Condor Flugdienst
1.390182,105.858346,Airbus A320 232,Royal Brunei Airlines
42.099243,28.041292,Airbus A330 203,Turkish Airlines
31.3953,120.9674,Airbus A320 214,Spring Airlines
1.621536,103.98513,Boeing 737NG 85R/W,Jet Airways
25.243277,121.19915,Boeing 777 367,Cathay Pacific Airways
50.155893,30.886131,Airbus A320 214SL,Air Arabia
41.570435,12.110117,Airbus A319 112,Alitalia
44.703781,-93.247114,,
47.464755,8.737511,Boeing 777 3D7ER,Thai Airways International
44.9198,20.455039,Boeing 737NG 8LJ/W,Aeroflot Russian Airlines
41.9859,-83.5478,2001 BOEING 737-823,American Airlines
48.971466,2.284452,Airbus A320 214,Alitalia
40.25777,-80.318798,1999 MCDONNELL DOUGLAS DC-9-83(MD-83),"WELLS FARGO BANK NORTHWEST NA TRUSTEE     - SALT LAKE CITY, UT"
42.364105,-71.278111,2000 AIRBUS INDUSTRIE A320-232,JetBlue Airways
26.15451,122.720085,Boeing 737NG 9B5ER/W,Korean Air
-35.113174,150.582929,Leonardo AW.139,Leonardo
26.19378,119.571236,Airbus A320 214SL,Shenzhen Airlines
52.32106,4.77866,Boeing 737NG 7K2/W,KLM Royal Dutch Airlines
52.637,-1.7552,Bombardier DHC-8 402,Brussels Airlines
39.218948,-76.985918,Boeing 737MAX 8,Southwest Airlines
40.666901,-74.225403,2007 AIRBUS A320-232,JetBlue Airways
25.263245,47.438763,Airbus A320 214,Saudi Arabian Airlines
38.701675,1.716793,Dassault Falcon 2000LX S,Legendair AG
25.539597,55.04659,Gulfstream Aerospace G450,SW Business Aviation
55.16153,22.854551,Boeing 737NG 8AS/W,Ryanair
2.969334,101.435915,Airbus A380 861,Emirates Airline
-29.7932,-51.0311,Airbus A320 214SL,Avianca Brasil
41.964466,-83.373199,Airbus A321 211SL,Delta Air Lines
48.374039,12.984079,Boeing 737NG 85P/W,Jet2
40.366287,116.559204,Airbus A330 323E,China Southern Airlines
-26.94397,26.603238,Boeing 737NG 8LD/W,Kulula.com
53.960002,-4.705784, PIPER PA-32-300,"MANX ORTHOPAEDIC SERVICES INC TRUSTEE     - WILMINGTON, DE"
22.290848,114.177562,Boeing 747 83QF,CargoLogicAir
35.166771,-6.662807,Boeing 737NG 8B6/W,Royal Air Maroc
29.412552,-81.184317,2015 EXTRA FLUGZEUGPRODUKTIONS-UND EA 300/LC,"SOUTHEAST AERO SALES INC     - SAINT AUGUSTINE, FL"
43.691208,5.00868,Boeing 777 236ER,British Airways
40.767843,-73.436238,1986 PIPER PA-28-181,"MOUNTAIN AVIATION LTD     - MELVILLE, NY"
40.451843,-74.044983,2008 AIRBUS A320-232,JetBlue Airways
45.757278,9.021249,Airbus A321 231,British Airways
26.619141,-80.431737,2015 AIRBUS A320-232,Spirit Airlines
49.19659,2.295926,Boeing 777 328ER,Air France
41.343338,120.23334,Airbus A320 214SL,Tibet Airlines
42.898956,-71.874191,1982 CESSNA 402C,"HYANNIS AIR SERVICE INC     - HYANNIS, MA"
-23.637817,-46.46805,Boeing 737NG 8EH/W,GOL
39.432445,-79.176392,2010 CESSNA 525B,"CESSNA AIRCRAFT CO     - WICHITA, KS"
55.945358,37.160423,Airbus A320 214SL,Aeroflot Russian Airlines
53.152647,-2.23386,Airbus A319 111,easyJet Europe
24.453049,114.36218,Boeing 777 3ALER,Thai Airways International
38.837128,116.61241,Boeing 737NG 86N,Air China
36.251717,-80.198208,2003 BOMBARDIER INC CL-600-2B19,American Eagle
-4.306734,15.107338,Boeing 787 8,Ethiopian Airlines
48.277371,-1.731503,Avions de Transport Regional ATR 72 600,Aer Lingus Regional
33.783421,135.180756,Boeing 767 346ER,Japan Airlines
51.161957,6.916933,Airbus A319 114,Lufthansa
44.854524,6.169694,Airbus A321 111,Air France
23.542191,113.658458,Boeing 737NG 87L/W,Shenzhen Airlines
50.188705,14.802198,Boeing 737NG 82R/W,Blue Air
55.188143,38.057223,Airbus A319 114,S7 Airlines
55.436329,12.65221,Boeing 737NG 800/W,Norwegian Air International
35.194931,136.240021,Boeing 737NG 8Q8/W,T way Air
36.54657,-4.222126,Avions de Transport Regional ATR 72 600,Air Nostrum
-14.246195,-48.989147,Airbus A330 243,Avianca Brasil
48.973606,2.151441,Airbus A321 212,Air France
51.096621,5.13443,CZAW PS-28 Cruiser,Private
22.694588,114.359029,Airbus A321 211SL,EVA Air
30.720055,114.56389,Airbus A320 214,China Eastern Airlines
22.816681,114.13107,Boeing 737NG 86D/W,Shanghai Airlines
41.432795,1.84928,Airbus A320 214,Vueling Airlines
6.917313,93.717382,Boeing 737NG 8H6/W,Malaysia Airlines
48.703308,2.012047,Avions de Transport Regional ATR 72 600,Hop!
10.473816,-60.94173,AgustaWestland AW.139,Bristow Caribbean
43.685272,1.840145,Boeing 737NG 8AS/W,Ryanair
26.852371,-81.727036, BOEING 737-700,"     - , "
31.05075,121.26741,Boeing 737NG 86D/W,Shanghai Airlines
37.714016,-5.751761,Airbus A321 131,Lufthansa
46.192156,-79.575005,1995 BOEING 767-34AF,United Parcel Service
24.367304,117.999535,Boeing 737NG 8FH/W,Chang An Airlines
41.771183,11.831317,Airbus A320 216,Alitalia
35.181295,-81.851864,2002 AIRBUS A321-211,American Airlines
31.015301,-81.454102,2001 AIRBUS INDUSTRIE A319-131,United Airlines
2.428863,101.61861,Airbus A320 216,AirAsia
-4.839105,120.880485,Boeing 737NG 8GP/W,Batik Air
47.82605,41.974018,Boeing 777 36NER,Emirates Airline
-7.162155,110.498926,Boeing 737NG 83N/W,Sriwijaya Air
22.004288,114.07429,Boeing 737NG 8H6/W,Malaysia Airlines
51.160309,11.604532,Airbus A320 214,Swiss International Air Lines
34.27618,134.720825,Airbus A321 211SL,EVA Air
39.982224,0.165649,Boeing 737NG 8AS/W,Ryanair
40.444107,-73.538879,Airbus A330 243,Air Europa
50.034348,8.541653,Boeing 747 830,Lufthansa
35.271839,133.523712,Boeing 767 38E,Asiana Airlines
-5.816803,106.435128,Airbus A320 214SL,Batik Air
50.02121,8.387339,Airbus A320 214SL,Lufthansa
63.904584,40.118884,Airbus A380 841,Lufthansa
59.767347,17.870494,Avions de Transport Regional ATR 72 600,Scandinavian Airlines System
45.173492,5.037689,Boeing 737NG 8D6/W,Air Algerie
29.661804,120.64853,737-8AL,Lucky Air
31.29856,121.33081,Airbus A320 232,China Eastern Airlines
25.82341,122.59255,Boeing 777 3B5ER,Korean Air
41.008659,-111.553055,Boeing 737NG 900ER/W,Delta Air Lines
25.133331,118.897756,Boeing 737NG 75C,Hebei Airlines
60.610703,52.193772,Boeing 747 8B5,Korean Air
-6.263031,106.770164,Boeing 737MAX 8,Lion Air
-7.97738,114.36171,Airbus A320 251NSL,AirAsia
45.46347,-122.50901,1992 BOEING 757-236,FedEx
34.4156,-86.4387,BOEING 717-200,Delta Air Lines
42.366806,-71.172804,2001 AIRBUS INDUSTRIE A320-232,JetBlue Airways
31.215729,121.60664,Airbus A320 214SL,Spring Airlines
35.775115,139.907382,Airbus A321 211,All Nippon Airways
49.75452,7.548424,HOAC HK 36R Super Dimona,Private
43.516388,5.232686,Cessna Citation CJ1,Queen Air
30.298105,120.07854,Boeing 737NG 85C/W,Xiamen Airlines
48.253052,17.433189,Airbus A321 231SL,Wizz Air
30.784157,104.20642,Airbus A321 232SL,Air China
42.9169,-87.3061,2001 BOEING 737-7H4,Southwest Airlines
24.83087,121.55108,Boeing 737NG 85C/W,Xiamen Airlines
7.769073,93.854665,Airbus A330 202,Qatar Airways
-5.590347,106.741814,Boeing 737NG 8U3/W,Garuda Indonesia
-33.816757,-70.750694,Airbus A320 233,LATAM Airlines
49.660112,8.528137,Bombardier CRJ 900 LR NG,Eurowings
24.410086,-78.34563,2008 BOEING 737-924ER,"UNITED AIRLINES INC     - CHICAGO, IL"
45.517288,8.41258,Airbus A320 214,easyJet
36.232128,134.695068,Boeing 777 28EER,Asiana Airlines
32.860657,114.15608,Boeing 737NG 87L/W,Kunming Airlines
32.8114,114.18475,Boeing 737NG 84P/W,Hainan Airlines
41.558719,11.939648,Airbus A320 214,Air Arabia Maroc
39.9714,-75.4833,1998 BOEING 737-724,"WELLS FARGO BANK NORTHWEST NA TRUSTEE     - SALT LAKE CITY, UT"
39.63625,-118.768494,Eurocopter Squirrel AS.350 B3e,Med Trans Corp
32.928268,-96.457436, EMBRAER S A ERJ170-200LR,SkyWest Airlines
25.350673,54.898889,Airbus A380 861,Emirates Airline
40.373778,-75.998986,Eurocopter EC155 B1,Milton S Hershey Medical Center
29.158264,-98.335243,2005 BOEING 737-76N,"AFS INVESTMENTS 54 LLC     - NORWALK, CT"
35.620239,-78.819523,BOEING 737-73V,Southwest Airlines
43.718811,-1.421452,Airbus A321 212,Air France
35.767434,-79.967496,Embraer EMB-175 200LR,American Eagle
33.4298,-86.8672,2002 EMBRAER EMB-145LR,"WELLS FARGO BANK NORTHWEST NA TRUSTEE     - SALT LAKE CITY, UT"
49.394997,8.68462,Eurocopter EC135 P2,Deutsche Rettungsflugwacht
25.280472,121.69162,Boeing 777 35EER,EVA Air
51.475777,-0.43422,Airbus A330 302,Delta Air Lines
40.14255,116.27,Boeing 737NG 97L,Shenzhen Airlines
49.4503,6.6637,Cessna 208 B,Corporate
29.104786,-81.154175,2007 PIPER AIRCRAFT INC PA-28R-201,"AVN AIR LLC     - DANBURY, CT"
44.875629,11.4195,Embraer EMB-195 LR,Air Dolomiti
60.196514,-21.185663,Boeing 747 436,British Airways
32.791401,134.365753,Boeing 737NG 881/W,All Nippon Airways
52.278954,4.65475,Embraer EMB-175 200LR,KLM Cityhopper
35.415482,140.035572,Airbus A321 231SL,Hong Kong Express Airways
39.290131,-94.258575,Boeing 737NG 79P/W,Southwest Airlines
34.048279,-84.345177,Boeing 737NG 8EH/W,Delta Air Lines
45.705002,6.140152,Boeing 737NG 86N/W,Scandinavian Airlines System
48.116993,16.560516,Airbus A319 132,Eurowings Europe
55.713161,12.13002,Boeing 737NG 800/W,Ryanair
37.78203,121.03714,Airbus A320 214,China Eastern Airlines
40.343333,-74.209401,Boeing 767 300F,FedEx Express
28.844511,-81.310999,1999 BOEING 737-824,"UNITED AIRLINES INC     - CHICAGO, IL"
-8.17141,113.996788,Airbus A320 216,Indonesia AirAsia
40.6038,-73.478,2008 CESSNA 172S,"NUTACK LEASING LLC     - DELAND, FL"
51.637092,7.198334,Hoffmann H 36 Dimona,Private
45.1981,-75.6776,2002 EMBRAER EMB-145XR,"WELLS FARGO BANK NORTHWEST NA TRUSTEE     - SALT LAKE CITY, UT"
60.485321,1.412217,Airbus A320 232,Scandinavian Airlines System
36.108616,-87.095811,1998 AIRBUS INDUSTRIE A319-131,United Airlines
33.585892,34.375099,Airbus A330 343E,Saudi Arabian Airlines
40.624974,-73.783243,Boeing 737NG 8Q8/W,Caribbean Airlines
37.819597,24.188611,Bombardier DHC-8 402 NG,Olympic Air
29.941864,121.091576,Boeing 737NG 84P/W,Hainan Airlines
39.579666,0.972827,Airbus A320 214,Iberia Express
1.748062,103.914045,Boeing 787 8,Air India
26.9807,-81.7406,1992 BOEING 757-232,"WILMINGTON TRUST CO OWNER TRUSTEE     - WILMINGTON, DE"
26.011871,122.57762,Boeing 767 381ER/W,All Nippon Airways
29.033281,-81.149705,Piper PA-44 180 Seminole,Private
-19.613754,-44.20344,Airbus A319 132,LATAM Airlines
28.6523,-81.403297, CESSNA 441,"4410036F LLC     - NEWARK, DE"
40.837578,-74.490173,1992 MCDONNELL DOUGLAS MD-11F,FedEx
40.868546,2.31427,Boeing 737NG 8AS/W,Ryanair
41.454254,119.9134,Boeing 737NG 87L/W,Shenzhen Airlines
38.846237,-86.259394,2013 BOEING 737-932ER,Delta Air Lines
28.8955,-80.703102,1978 CESSNA 414A,"CAPITAL HOLDINGS 2007 LLC     - LITTLE ROCK, AR"
30.58473,-81.714828,2008 SCHNARR DON RV-7A,"BLUE SKY AVIATION SALES LLC     - HUNTINGBURG, IN"
26.491714,117.888214,Boeing 737NG 85C/W,Jiangxi Air
28.415533,-82.797816, AIRBUS A320-214,"SUNRISE ASSET MANAGEMENT LLC     - LAS VEGAS, NV"
41.39978,119.70703,Airbus A321 231,Sichuan Airlines
55.350998,-6.338707,Boeing 737NG 8AS/W,Ryanair
33.495346,-101.569206,1987 CESSNA 208B,"FEDERAL EXPRESS CORPORATION     - MEMPHIS, TN"
22.855473,110.9878,Boeing 737NG 89P/W,China Eastern Airlines
43.3033,-88.2767,1996 MCDONNELL DOUGLAS MD-90-30,"DELTA AIR LINES INC     - ATLANTA, GA"
48.728302,11.341341,Airbus A320 214SL,Lufthansa
41.193982,2.630477,Boeing 737NG 804/W,El Al Israel Airlines
41.952039,28.047521,Boeing 777 3F2ER,Turkish Airlines
58.374039,15.743225,Piper PA-28 181 Archer II,Private
49.034218,2.822113,Airbus A330 203,Air France
22.5753,120.3358,787-8,SCOOT
45.626732,5.456772,Airbus A320 251NSL,Pegasus Airlines
57.301891,12.55764,Avro 146 RJ85,Malmo Aviation
42.154175,-71.559885,1992 AIRBUS INDUSTRIE A320-211,Delta Air Lines
